,id,freq,roi,deg
613,GenZ_126_9a,gamma2,2,0.0
614,GenZ_126_9a,gamma2,3,0.0
615,GenZ_126_9a,gamma2,35,0.0
616,GenZ_127_9a,DC,0,0.0
617,GenZ_127_9a,DC,2,0.0
618,GenZ_127_9a,DC,3,0.0
619,GenZ_127_9a,DC,35,0.0
620,GenZ_127_9a,delta,0,0.0
621,GenZ_127_9a,delta,2,0.0
622,GenZ_127_9a,delta,3,0.0
623,GenZ_127_9a,delta,35,0.0
624,GenZ_127_9a,theta,0,0.0
625,GenZ_127_9a,theta,2,0.0
626,GenZ_127_9a,theta,3,0.0
627,GenZ_127_9a,theta,35,0.0
628,GenZ_127_9a,alpha,0,0.0
629,GenZ_127_9a,alpha,2,0.0
630,GenZ_127_9a,alpha,3,0.0
631,GenZ_127_9a,alpha,35,0.0
632,GenZ_127_9a,beta,0,0.0
633,GenZ_127_9a,beta,2,0.0
634,GenZ_127_9a,beta,3,0.0
635,GenZ_127_9a,beta,35,0.0
636,GenZ_127_9a,gamma,0,0.0
637,GenZ_127_9a,gamma,2,0.0
638,GenZ_127_9a,gamma,3,0.0
639,GenZ_127_9a,gamma,35,0.0
640,GenZ_127_9a,gamma2,0,0.0
641,GenZ_127_9a,gamma2,2,0.0
642,GenZ_127_9a,gamma2,3,0.0
643,GenZ_127_9a,gamma2,35,0.0
644,GenZ_128_9a,DC,0,0.0
